NOC,Predicted_Probability
AIN,0.5793650793650789
Albania,0.8888888888888893
American Samoa,0.5238095238095233
Andorra,0.5238095238095233
Angola,0.5238095238095233
Antigua and Barbuda,0.5238095238095233
Aruba,0.5238095238095233
Bangladesh,0.5238095238095233
Belize,0.5238095238095233
Benin,0.5238095238095233
Bhutan,0.5238095238095233
Bolivia,0.5238095238095233
Bosnia and Herzegovina,0.5238095238095233
British Virgin Islands,0.5238095238095233
Brunei,0.5238095238095233
Cabo Verde,6.444444444444442
Cambodia,0.5238095238095233
Cape Verde,0.5238095238095233
Cayman Islands,0.5238095238095233
Central African Republic,0.5238095238095233
Chad,0.5238095238095233
Chinese Taipei[4],0.5952380952380948
Comoros,0.5238095238095233
Cook Islands,0.5238095238095233
Czechia,0.5952380952380948
Democratic Republic of the Congo,0.5238095238095233
Dominica,0.7936507936507935
EOR,0.5952380952380948
El Salvador,0.5238095238095233
Equatorial Guinea,0.5238095238095233
Eswatini,0.5238095238095233
Federated States of Micronesia,0.5238095238095233
Guam,0.5238095238095233
Guinea,0.5238095238095233
Guinea-Bissau,0.5238095238095233
Honduras,0.5238095238095233
Iraq,0.5238095238095233
Kiribati,0.5238095238095233
Laos,0.5238095238095233
Lesotho,0.5238095238095233
Liberia,0.5238095238095233
Libya,0.5238095238095233
Liechtenstein,0.5238095238095233
Madagascar,0.5238095238095233
Malawi,0.5238095238095233
Maldives,0.5238095238095233
Mali,0.5238095238095233
Malta,0.5238095238095233
Marshall Islands,0.5238095238095233
Mauritania,0.5238095238095233
Monaco,0.5238095238095233
Myanmar,0.5238095238095233
Nauru,0.5238095238095233
Nepal,0.5238095238095233
Nicaragua,0.5238095238095233
Oman,0.5238095238095233
Palau,0.5238095238095233
Palestine,0.5238095238095233
Papua New Guinea,0.5238095238095233
Refugee Olympic Team,6.444444444444442
Republic of the Congo,0.5238095238095233
Rwanda,0.5238095238095233
Saint Kitts and Nevis,0.5238095238095233
Saint Lucia,0.7936507936507935
Saint Vincent and the Grenadines,0.5238095238095233
Seychelles,0.5238095238095233
Sierra Leone,0.5238095238095233
Solomon Islands,0.5238095238095233
Somalia,0.5238095238095233
South Sudan,0.5238095238095233
São Tomé and Príncipe,0.5238095238095233
The Gambia,0.5238095238095233
Timor-Leste,0.5238095238095233
Tuvalu,0.5238095238095233
Vanuatu,0.5238095238095233
Yemen,0.5238095238095233
